file, solution, objective
transoptas_5pso_cosine_p90_seed50_t600_redumis.out, [ ... ], 6415
transoptas_5pso_cosine_p95_seed20_t600_redumis.out, [ ... ], 7069
transoptas_5pso_cosine_p95_seed30_t600_redumis.out, [ ... ], 7069
transoptas_5pso_cosine_p95_seed40_t600_redumis.out, [ ... ], 7069
transoptas_5pso_cosine_p95_seed50_t600_redumis.out, [ ... ], 7069
transoptas_5pso_seuclidean_p10_seed20_t600_redumis.out, [ ... ], 324
transoptas_5pso_seuclidean_p10_seed50_t600_redumis.out, [ ... ], 324
transoptas_5pso_seuclidean_p20_seed20_t600_redumis.out, [ ... ], 711
transoptas_5pso_seuclidean_p20_seed30_t600_redumis.out, [ ... ], 711
transoptas_5pso_seuclidean_p20_seed40_t600_redumis.out, [ ... ], 711
transoptas_5pso_seuclidean_p50_seed20_t600_redumis.out, [ ... ], 2332
transoptas_5pso_seuclidean_p50_seed30_t600_redumis.out, [ ... ], 2332
transoptas_5pso_seuclidean_p50_seed40_t600_redumis.out, [ ... ], 2332
transoptas_5pso_seuclidean_p80_seed20_t600_redumis.out, [ ... ], 4947
transoptas_5pso_seuclidean_p80_seed30_t600_redumis.out, [ ... ], 4947
transoptas_5pso_seuclidean_p80_seed40_t600_redumis.out, [ ... ], 4947
transoptas_5pso_seuclidean_p80_seed50_t600_redumis.out, [ ... ], 4947
transoptas_5pso_seuclidean_p90_seed20_t600_redumis.out, [ ... ], 6087
transoptas_5pso_seuclidean_p90_seed30_t600_redumis.out, [ ... ], 6087
transoptas_5pso_seuclidean_p90_seed40_t600_redumis.out, [ ... ], 6087
transoptas_5pso_seuclidean_p90_seed50_t600_redumis.out, [ ... ], 6087
transoptas_5pso_seuclidean_p95_seed20_t600_redumis.out, [ ... ], 6790
transoptas_5pso_seuclidean_p95_seed30_t600_redumis.out, [ ... ], 6790
transoptas_5pso_seuclidean_p95_seed40_t600_redumis.out, [ ... ], 6790
transoptas_5pso_seuclidean_p95_seed50_t600_redumis.out, [ ... ], 6790
